Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
130,Bed Rest,-,-,-,"$259,104",215,"$279,523",Jul 7,Sun Distribution,false
131,¡Salta!,-,-,-,"$248,780",202,"$248,880",Sep 1,A Contracorriente Films,false
132,Matria,-,-,-,"$243,482",58,"$244,649",Mar 24,Avalon,false
133,The Movie Teller,-,-,-,"$239,707",158,"$240,877",Oct 27,A Contracorriente Films,false
134,Strange Way of Life,-,-,-,"$237,878",181,"$237,928",May 26,BTeam Pictures,false
135,Lobo Feroz,-,-,-,"$236,751",160,"$237,053",Jan 27,Filmax,false
136,Heaven Can't Wait,-,-,-,"$236,002",67,"$236,778",Feb 24,-,false
137,El favor,-,-,-,"$231,004",264,"$231,004",Nov 10,Universal Pictures International (UPI),false
138,Under Therapy,-,-,-,"$230,777",101,"$230,777",Mar 17,Syldavia Cinema,false
139,Devotion,-,-,-,"$216,326",209,"$216,326",Jan 27,Diamond Films,false
140,Una vida no tan simple,-,-,-,"$215,171",61,"$216,730",Jun 23,A Contracorriente Films,false
141,Creatura,-,-,-,"$212,979",69,"$212,979",Sep 8,Avalon,false
142,Watcher,-,-,-,"$210,901",203,"$210,901",Mar 17,Universal Pictures International (UPI),false
143,Just Super,-,-,-,"$210,261",201,"$210,261",Jun 16,VerCine,false
144,Love Again,-,-,-,"$206,710",248,"$206,710",May 12,Sony Pictures Releasing,false
145,La ternura,-,-,-,"$198,071",222,"$198,071",Sep 29,Universal Pictures International (UPI),false
146,Jeepers Creepers: Reborn,-,-,-,"$197,029",161,"$197,029",May 12,Selecta Visión,false
147,My Fairy Troublemaker,-,-,-,"$191,976",268,"$191,976",Mar 10,-,false
148,Tad the Lost Explorer and the Emerald Tablet,-,-,-,"$190,217",442,"$12,825,834",Aug 26,Paramount Pictures International,false
149,Knights of the Zodiac,-,-,-,"$188,036",215,"$188,036",May 26,Sony Pictures Releasing,false
150,Holy Spider,-,-,-,"$186,684",80,"$186,880",Jan 13,Karma Films,false
151,The Son,-,-,-,"$185,810",130,"$185,810",Mar 3,Diamond Films,false
152,Godland,-,-,-,"$185,712",32,"$188,228",Aug 11,A Contracorriente Films,false
153,Un Amor,-,-,-,"$181,259",128,"$197,427",Nov 10,BTeam Pictures,false
154,About My Father,-,-,-,"$172,209",243,"$172,209",Jun 9,Sun Distribution,false
155,Women Talking,-,-,-,"$169,518",105,"$169,518",Feb 17,Universal Pictures International (UPI),false
156,They Shot the Piano Player,-,-,-,"$160,307",87,"$160,951",Oct 6,BTeam Pictures,false
157,El hombre del saco,-,-,-,"$157,844",106,"$157,964",Aug 11,Filmax,false
158,Speak Sunlight,-,-,-,"$156,767",70,"$156,767",Sep 22,Adso Films,false
