Rank,Release Group,Worldwide,Domestic,%,Foreign,%
158,The Animal Kingdom,"$7,566,649",-,-,"$7,566,649",100%
159,The Jungle Bunch 2: World Tour,"$7,486,575",-,-,"$7,486,575",100%
160,Ichikei's Crow,"$7,377,092",-,-,"$7,377,092",100%
161,Cats in the Museum,"$7,342,309",-,-,"$7,342,309",100%
162,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,"$7,259,924","$7,259,924",100%,-,-
163,Road to Boston,"$7,196,843",-,-,"$7,196,843",100%
164,Coraline 2023 Re-release (remastered),"$7,149,366","$7,149,366",100%,-,-
165,Les petites victoires,"$7,056,157",-,-,"$7,056,157",100%
166,Knights of the Zodiac,"$6,986,177","$1,090,155",15.6%,"$5,896,022",84.4%
167,Leo,"$6,973,612",-,-,"$6,973,612",100%
168,Analog,"$6,972,960",-,-,"$6,972,960",100%
169,Checker Tobi und die Reise zu den fliegenden Flüssen,"$6,932,988",-,-,"$6,932,988",100%
170,Beautiful Disaster,"$6,850,036",-,-,"$6,850,036",100%
171,Blue Giant,"$6,761,468","$266,645",3.9%,"$6,494,823",96.1%
172,Pravednik,"$6,758,440",-,-,"$6,758,440",100%
173,A Difficult Year,"$6,720,734",-,-,"$6,720,734",100%
174,Baba Yaga spasyot mir,"$6,607,985",-,-,"$6,607,985",100%
175,A Brighter Tomorrow,"$6,594,693",-,-,"$6,594,693",100%
176,Little Bird: The Big Quest,"$6,430,957",-,-,"$6,430,957",100%
177,City Hunter the Movie: Angel Dust,"$6,394,423",-,-,"$6,394,423",100%
178,Second Tour,"$6,381,548",-,-,"$6,381,548",100%
179,It Lives Inside,"$6,375,143","$4,675,092",73.3%,"$1,700,051",26.7%
180,Rohan at the Louvre,"$6,292,792",-,-,"$6,292,792",100%
181,Marlowe,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
182,The Peasants,"$6,244,985",-,-,"$6,244,985",100%
183,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
184,Life for Real,"$6,118,780",-,-,"$6,118,780",100%
185,"And Yet, You Are So Sweet","$6,099,393",-,-,"$6,099,393",100%
186,The Miracle Club,"$6,083,113","$2,402,780",39.5%,"$3,680,333",60.5%
187,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
188,Rafadan Tayfa Galaktik Tayfa,"$5,998,908",-,-,"$5,998,908",100%
189,The Childe,"$5,958,760","$102,021",1.7%,"$5,856,739",98.3%
190,The Great Escaper,"$5,944,555",-,-,"$5,944,555",100%
191,Bernadette,"$5,936,411",-,-,"$5,936,411",100%
192,The Unlikely Pilgrimage of Harold Fry,"$5,829,176",-,-,"$5,829,176",100%
193,Golda,"$5,789,070","$4,801,781",82.9%,"$987,289",17.1%
194,Stop Making Sense 2023  Re-release,"$5,770,553","$5,032,127",87.2%,"$738,426",12.8%
195,The Devil's Deal,"$5,702,702",-,-,"$5,702,702",100%
196,You Hurt My Feelings,"$5,698,637","$4,830,788",84.8%,"$867,849",15.2%
197,Song of the South,"$5,679,886",-,-,"$5,679,886",100%
198,Rocky Aur Rani Kii Prem Kahaani,"$5,627,462",-,-,"$5,627,462",100%
199,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
200,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
