Rank_World,Rank_Spain,Title,Gross_Spain,Total Gross,Release Date,Distributor,Gross_World,Domestic,%,Foreign,%.1,Ratio
46,70,The Boy and the Heron,1137276,"$1,139,566",Oct 27,Vértigo Films,77946664,-,-,"$77,946,664",100%,0.014590438405420405
16,29,Five Nights at Freddy's,3925905,"$6,388,306",Nov 3,Universal Pictures International (UPI),271840720,"$132,611,720",48.8%,"$139,229,000",51.2%,0.014441931289764095
32,53,Blue Beetle,1858757,"$1,858,757",Aug 18,Warner Bros.,129288072,"$72,488,072",56.1%,"$56,800,000",43.9%,0.014376863783690734
4,11,Guardians of the Galaxy Vol. 3,11826005,"$12,364,672",May 5,Walt Disney Studios Motion Pictures,845555777,"$358,995,815",42.5%,"$486,559,962",57.5%,0.013986073209691996
17,31,The Flash,3686381,"$3,686,381",Jun 16,Warner Bros.,270633313,"$108,133,313",40%,"$162,500,000",60%,0.01362131276130075
192,196,The Unlikely Pilgrimage of Harold Fry,78604,"$79,419",Aug 25,A Contracorriente Films,5829176,-,-,"$5,829,176",100%,0.01348458169731022
36,57,Haunted Mansion,1561026,"$1,561,026",Jul 28,Walt Disney Studios Motion Pictures,117431902,"$67,653,287",57.6%,"$49,778,615",42.4%,0.013293031735107212
48,76,Plane,975043,"$975,043",Feb 10,DeAPlaneta,74191973,"$32,111,181",43.3%,"$42,080,792",56.7%,0.013142162966875136
26,46,Scream VI,2219029,"$2,219,029",Mar 10,Paramount Pictures International,168961389,"$108,161,389",64%,"$60,800,000",36%,0.013133349655405592
88,129,Dumb Money,262766,"$262,866",Oct 5,DeAPlaneta,20036382,"$13,925,356",69.5%,"$6,111,026",30.5%,0.013114443515800408
6,12,Spider-Man: Across the Spider-Verse,9036917,"$9,036,917",Jun 2,Sony Pictures Entertainment (SPE),690516673,"$381,311,319",55.2%,"$309,205,354",44.8%,0.013087181458976879
71,105,Strays,431639,"$431,639",Sep 22,Universal Pictures International (UPI),35519251,"$23,988,885",67.5%,"$11,530,366",32.5%,0.01215225512497434
10,17,Ant-Man and the Wasp: Quantumania,5762900,"$5,762,900",Feb 17,Walt Disney Studios Motion Pictures,476071180,"$214,504,909",45.1%,"$261,566,271",54.9%,0.012105122599523878
81,122,Renfield,304782,"$304,782",Apr 14,Universal Pictures International (UPI),26348651,"$17,152,625",65.1%,"$9,196,026",34.9%,0.011567271508511005
